buy_month	sell_month	pints_purchased	expected_profit
2025-07	2025-12	240873	93236.43756612492
2025-06	2025-12	235094	67010.77099117161
2025-08	2025-12	233376	59211.706467145515
2025-09	2025-12	228272	36045.35672515237
2025-07	2025-11	246818	31421.330634502843
2025-06	2025-11	240754	6083.060886239094
2025-10	2025-12	220284	-209.92178533798054
2025-08	2025-11	238953	-1446.485765795431
2025-05	2025-12	215582	-21547.92522203406
2025-09	2025-11	233604	-23796.352402699104
2025-07	2025-10	253064	-57174.53046221714
2025-10	2025-11	225245	-58726.87964090671
2025-05	2025-11	220332	-79258.6717049588
2025-06	2025-10	246694	-80907.7614792525
2025-11	2025-12	202298	-81839.08659886454
2025-04	2025-12	201951	-83416.51327545782
2025-08	2025-10	244802	-87954.47864987122
2025-07	2025-09	259634	-93183.04778380197
2025-09	2025-10	239192	-108856.51985519615
2025-03	2025-12	195279	-113696.17230066692
2025-07	2025-08	266555	-115986.89122683989
2025-06	2025-09	252933	-116587.06911094747
2025-08	2025-09	250945	-123530.35177843725
2025-04	2025-11	206113	-138677.92282172118
2025-06	2025-08	259497	-139394.52656014505
2025-05	2025-10	225296	-160626.72909802105
2025-03	2025-11	199168	-167698.61143506883
2025-06	2025-07	266410	-172419.27504419783
2025-02	2025-12	181701	-175322.15063347452
2025-03	2025-04	231435	-176895.10147154008
2025-05	2025-09	230489	-194977.80484693553
2025-04	2025-05	235200	-208613.01273942742
2025-02	2025-03	217224	-213912.59937636062
2025-04	2025-10	210451	-215935.25411014067
2025-05	2025-08	235927	-217563.04552923725
2025-02	2025-11	185064	-226641.43996670976
2025-05	2025-06	247611	-230365.06281476445
2025-03	2025-05	226200	-238896.85965277717
2025-01	2025-02	196098	-240476.3244544117
2025-03	2025-10	203216	-242889.97409206818
2025-02	2025-04	212606	-243861.1559891435
2025-04	2025-09	214975	-249162.89474929177
2025-05	2025-07	241628	-249404.97788310086
2025-01	2025-12	163948	-255897.7833074416
2025-04	2025-08	219698	-271384.9093302434
2025-03	2025-09	207431	-275510.47425799957
2025-04	2025-06	229795	-285738.9547062496
2025-03	2025-08	211825	-297494.3342971422
2025-02	2025-10	188553	-297517.77873717214
2025-02	2025-05	208180	-299529.5002799844
2025-04	2025-07	224633	-302195.77393868327
2025-01	2025-11	166680	-303460.7306287125
2025-01	2025-03	192326	-304011.5089027391
2025-03	2025-06	221196	-312466.47046861594
2025-03	2025-07	216409	-327742.27072737436
2025-02	2025-09	192177	-328790.3302912111
2025-01	2025-04	188697	-328891.94442966906
2025-02	2025-08	195942	-350168.71627035213
2025-02	2025-06	203934	-366121.08800779755
2025-01	2025-10	169506	-368481.2177691241
2025-01	2025-05	185202	-376840.5281065763
2025-02	2025-07	199858	-379156.03014637507
2025-01	2025-09	172429	-397763.6941403232
2025-01	2025-08	175454	-418116.96313676826
2025-01	2025-06	181835	-434812.14059434936
2025-01	2025-07	178587	-445231.7937788907
